truth,trial,seed,alpha,beta,decision,error,stopping_time
Q,136,260717723,0.05,0.05,Q,False,75
Q,136,260717723,0.05,0.01,Q,False,75
Q,136,260717723,0.01,0.05,Q,False,80
Q,137,260717724,0.05,0.05,Q,False,63
Q,137,260717724,0.05,0.01,Q,False,63
Q,137,260717724,0.01,0.05,Q,False,65
Q,138,260717725,0.05,0.05,Q,False,38
Q,138,260717725,0.05,0.01,Q,False,38
Q,138,260717725,0.01,0.05,Q,False,40
Q,139,260717726,0.05,0.05,Q,False,120
Q,139,260717726,0.05,0.01,Q,False,120
Q,139,260717726,0.01,0.05,Q,False,122
Q,140,260717727,0.05,0.05,Q,False,79
Q,140,260717727,0.05,0.01,Q,False,79
Q,140,260717727,0.01,0.05,Q,False,82
Q,141,260717728,0.05,0.05,Q,False,89
Q,141,260717728,0.05,0.01,Q,False,89
Q,141,260717728,0.01,0.05,Q,False,90
Q,142,260717729,0.05,0.05,Q,False,69
Q,142,260717729,0.05,0.01,Q,False,69
Q,142,260717729,0.01,0.05,Q,False,80
Q,143,260717730,0.05,0.05,Q,False,90
Q,143,260717730,0.05,0.01,Q,False,90
Q,143,260717730,0.01,0.05,Q,False,91
Q,144,260717731,0.05,0.05,Q,False,82
Q,144,260717731,0.05,0.01,Q,False,82
Q,144,260717731,0.01,0.05,Q,False,84
Q,145,260717732,0.05,0.05,Q,False,110
Q,145,260717732,0.05,0.01,Q,False,110
Q,145,260717732,0.01,0.05,Q,False,120
Q,146,260717733,0.05,0.05,Q,False,71
Q,146,260717733,0.05,0.01,Q,False,71
Q,146,260717733,0.01,0.05,Q,False,72
Q,147,260717734,0.05,0.05,Q,False,98
Q,147,260717734,0.05,0.01,Q,False,98
Q,147,260717734,0.01,0.05,Q,False,102
Q,148,260717735,0.05,0.05,Q,False,94
Q,148,260717735,0.05,0.01,Q,False,94
Q,148,260717735,0.01,0.05,Q,False,95
Q,149,260717736,0.05,0.05,Q,False,51
Q,149,260717736,0.05,0.01,Q,False,51
Q,149,260717736,0.01,0.05,Q,False,54
Q,150,260717737,0.05,0.05,Q,False,44
Q,150,260717737,0.05,0.01,Q,False,44
Q,150,260717737,0.01,0.05,Q,False,45
Q,151,260717738,0.05,0.05,Q,False,58
Q,151,260717738,0.05,0.01,Q,False,58
Q,151,260717738,0.01,0.05,Q,False,59
Q,152,260717739,0.05,0.05,Q,False,66
Q,152,260717739,0.05,0.01,Q,False,66
Q,152,260717739,0.01,0.05,Q,False,78
Q,153,260717740,0.05,0.05,Q,False,66
Q,153,260717740,0.05,0.01,Q,False,66
Q,153,260717740,0.01,0.05,Q,False,68
Q,154,260717741,0.05,0.05,Q,False,51
Q,154,260717741,0.05,0.01,Q,False,51
Q,154,260717741,0.01,0.05,Q,False,52
Q,155,260717742,0.05,0.05,Q,False,52
Q,155,260717742,0.05,0.01,Q,False,52
Q,155,260717742,0.01,0.05,Q,False,55
Q,156,260717743,0.05,0.05,Q,False,75
Q,156,260717743,0.05,0.01,Q,False,75
Q,156,260717743,0.01,0.05,Q,False,80
Q,157,260717744,0.05,0.05,Q,False,35
Q,157,260717744,0.05,0.01,Q,False,35
Q,157,260717744,0.01,0.05,Q,False,36
Q,158,260717745,0.05,0.05,Q,False,100
Q,158,260717745,0.05,0.01,Q,False,100
Q,158,260717745,0.01,0.05,Q,False,101
Q,159,260717746,0.05,0.05,Q,False,41
Q,159,260717746,0.05,0.01,Q,False,41
Q,159,260717746,0.01,0.05,Q,False,65
Q,160,260717747,0.05,0.05,Q,False,93
Q,160,260717747,0.05,0.01,Q,False,93
Q,160,260717747,0.01,0.05,Q,False,95
Q,161,260717748,0.05,0.05,Q,False,54
Q,161,260717748,0.05,0.01,Q,False,54
Q,161,260717748,0.01,0.05,Q,False,68
Q,162,260717749,0.05,0.05,Q,False,81
Q,162,260717749,0.05,0.01,Q,False,81
Q,162,260717749,0.01,0.05,Q,False,82
Q,163,260717750,0.05,0.05,Q,False,104
Q,163,260717750,0.05,0.01,Q,False,104
Q,163,260717750,0.01,0.05,Q,False,107
Q,164,260717751,0.05,0.05,Q,False,68
Q,164,260717751,0.05,0.01,Q,False,68
Q,164,260717751,0.01,0.05,Q,False,69
Q,165,260717752,0.05,0.05,Q,False,102
Q,165,260717752,0.05,0.01,Q,False,102
Q,165,260717752,0.01,0.05,Q,False,106
Q,166,260717753,0.05,0.05,Q,False,93
Q,166,260717753,0.05,0.01,Q,False,93
Q,166,260717753,0.01,0.05,Q,False,96
Q,167,260717754,0.05,0.05,Q,False,70
Q,167,260717754,0.05,0.01,Q,False,70
Q,167,260717754,0.01,0.05,Q,False,71
Q,168,260717755,0.05,0.05,Q,False,74
