theta,trial,seed,initial_state,log_inverse_alpha,stopping_time
-0.6,3,260427590,3,1280.0,2556
-0.6,3,260427590,3,2560.0,4858
-0.6,3,260427590,3,5120.0,9936
-0.6,4,260427591,4,320.0,764
-0.6,4,260427591,4,640.0,1449
-0.6,4,260427591,4,1280.0,2842
-0.6,4,260427591,4,2560.0,5365
-0.6,4,260427591,4,5120.0,10337
-0.6,5,260427592,0,320.0,757
-0.6,5,260427592,0,640.0,1330
-0.6,5,260427592,0,1280.0,2481
-0.6,5,260427592,0,2560.0,5018
-0.6,5,260427592,0,5120.0,9953
-0.6,6,260427593,1,320.0,829
-0.6,6,260427593,1,640.0,1471
-0.6,6,260427593,1,1280.0,2737
-0.6,6,260427593,1,2560.0,5138
-0.6,6,260427593,1,5120.0,10005
-0.6,7,260427594,2,320.0,751
-0.6,7,260427594,2,640.0,1469
-0.6,7,260427594,2,1280.0,2678
-0.6,7,260427594,2,2560.0,5064
