theta,trial,seed,initial_state,alpha,horizon,stopped,stopping_time
0.56,113,260517700,0,0.05000000000000001,10000,False,
0.56,113,260517700,0,0.009999999999999995,10000,False,
0.5800000000000001,114,260517701,0,0.05000000000000001,10000,False,
0.5800000000000001,114,260517701,0,0.009999999999999995,10000,False,
0.6000000000000001,115,260517702,0,0.05000000000000001,10000,False,
0.6000000000000001,115,260517702,0,0.009999999999999995,10000,False,
0.6200000000000001,116,260517703,0,0.05000000000000001,10000,False,
0.6200000000000001,116,260517703,0,0.009999999999999995,10000,False,
0.6400000000000001,117,260517704,0,0.05000000000000001,10000,False,
0.6400000000000001,117,260517704,0,0.009999999999999995,10000,False,
0.66,118,260517705,0,0.05000000000000001,10000,False,
0.66,118,260517705,0,0.009999999999999995,10000,False,
0.68,119,260517706,0,0.05000000000000001,10000,False,
0.68,119,260517706,0,0.009999999999999995,10000,False,
0.7,120,260517707,0,0.05000000000000001,10000,False,
0.7,120,260517707,0,0.009999999999999995,10000,False,
0.72,121,260517708,0,0.05000000000000001,10000,False,
0.72,121,260517708,0,0.009999999999999995,10000,False,
0.74,122,260517709,0,0.05000000000000001,10000,False,
0.74,122,260517709,0,0.009999999999999995,10000,False,
0.76,123,260517710,0,0.05000000000000001,10000,False,
0.76,123,260517710,0,0.009999999999999995,10000,False,
0.78,124,260517711,0,0.05000000000000001,10000,False,
0.78,124,260517711,0,0.009999999999999995,10000,False,
0.8,125,260517712,0,0.05000000000000001,10000,False,
0.8,125,260517712,0,0.009999999999999995,10000,False,
0.4,126,260517713,1,0.05000000000000001,10000,False,
0.4,126,260517713,1,0.009999999999999995,10000,False,
0.42000000000000004,127,260517714,1,0.05000000000000001,10000,False,
0.42000000000000004,127,260517714,1,0.009999999999999995,10000,False,
0.44,128,260517715,1,0.05000000000000001,10000,False,
0.44,128,260517715,1,0.009999999999999995,10000,False,
0.46,129,260517716,1,0.05000000000000001,10000,False,
0.46,129,260517716,1,0.009999999999999995,10000,False,
0.48000000000000004,130,260517717,1,0.05000000000000001,10000,False,
0.48000000000000004,130,260517717,1,0.009999999999999995,10000,False,
0.5,131,260517718,1,0.05000000000000001,10000,False,
0.5,131,260517718,1,0.009999999999999995,10000,False,
0.52,132,260517719,1,0.05000000000000001,10000,False,
0.52,132,260517719,1,0.009999999999999995,10000,False,
0.54,133,260517720,1,0.05000000000000001,10000,False,
0.54,133,260517720,1,0.009999999999999995,10000,False,
0.56,134,260517721,1,0.05000000000000001,10000,False,
0.56,134,260517721,1,0.009999999999999995,10000,False,
0.5800000000000001,135,260517722,1,0.05000000000000001,10000,False,
0.5800000000000001,135,260517722,1,0.009999999999999995,10000,False,
0.6000000000000001,136,260517723,1,0.05000000000000001,10000,False,
0.6000000000000001,136,260517723,1,0.009999999999999995,10000,False,
0.6200000000000001,137,260517724,1,0.05000000000000001,10000,False,
0.6200000000000001,137,260517724,1,0.009999999999999995,10000,False,
0.6400000000000001,138,260517725,1,0.05000000000000001,10000,False,
0.6400000000000001,138,260517725,1,0.009999999999999995,10000,False,
0.66,139,260517726,1,0.05000000000000001,10000,False,
0.66,139,260517726,1,0.009999999999999995,10000,False,
0.68,140,260517727,1,0.05000000000000001,10000,False,
0.68,140,260517727,1,0.009999999999999995,10000,False,
0.7,141,260517728,1,0.05000000000000001,10000,False,
0.7,141,260517728,1,0.009999999999999995,10000,False,
0.72,142,260517729,1,0.05000000000000001,10000,False,
0.72,142,260517729,1,0.009999999999999995,10000,False,
0.74,143,260517730,1,0.05000000000000001,10000,False,
0.74,143,260517730,1,0.009999999999999995,10000,False,
0.76,144,260517731,1,0.05000000000000001,10000,False,
0.76,144,260517731,1,0.009999999999999995,10000,False,
0.78,145,260517732,1,0.05000000000000001,10000,False,
0.78,145,260517732,1,0.009999999999999995,10000,False,
0.8,146,260517733,1,0.05000000000000001,10000,False,
0.8,146,260517733,1,0.009999999999999995,10000,False,
0.4,147,260517734,2,0.05000000000000001,10000,False,
0.4,147,260517734,2,0.009999999999999995,10000,False,
0.42000000000000004,148,260517735,2,0.05000000000000001,10000,False,
0.42000000000000004,148,260517735,2,0.009999999999999995,10000,False,
0.44,149,260517736,2,0.05000000000000001,10000,False,
0.44,149,260517736,2,0.009999999999999995,10000,False,
0.46,150,260517737,2,0.05000000000000001,10000,False,
0.46,150,260517737,2,0.009999999999999995,10000,False,
0.48000000000000004,151,260517738,2,0.05000000000000001,10000,False,
0.48000000000000004,151,260517738,2,0.009999999999999995,10000,False,
0.5,152,260517739,2,0.05000000000000001,10000,False,
0.5,152,260517739,2,0.009999999999999995,10000,False,
0.52,153,260517740,2,0.05000000000000001,10000,False,
0.52,153,260517740,2,0.009999999999999995,10000,False,
0.54,154,260517741,2,0.05000000000000001,10000,False,
0.54,154,260517741,2,0.009999999999999995,10000,False,
0.56,155,260517742,2,0.05000000000000001,10000,False,
0.56,155,260517742,2,0.009999999999999995,10000,False,
0.5800000000000001,156,260517743,2,0.05000000000000001,10000,False,
